Route,Type1910,Type1920,Type1930,Type1940,Type1950,Type1960,Type1970,Type1980,OffPeak1910,Peak1910,OffPeak1920,Peak1920,OffPeak1940,Peak1940,Peak_Freq,Opeak_Freq,Mileage
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,1.05802475911
Oakwood,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,1.17788574222
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,2.52845755667
,Trolley,Trolley,Trolley,Bus,,,,,30,30,15,30,0,0,20,30,1.02088918547
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,0.450021421004
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,0.332712861037
Blue Hills Ave,Trolley,Trolley,Trolley,Trolley,,,,,30,30,15,15,10,10,10,10,0.803450138872
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,3.21248232709
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,1.31758933389
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,1.1481007135
New Britain,Trolley,Trolley,Trolley,Both,,,,,30,30,30,30,20,20,20,20,1.32869502257
Trinity St,Trolley,Trolley,Trolley,Bus,,,,,10,10,10,10,0,0,20,20,0.298297436777
West Hartford,Trolley,Trolley,Trolley,Bus,,,,,5,5,5,5,0,0,5,5,0.379957277464
,Trolley,Trolley,Bus,Bus,,,,,10,10,10,10,0,0,0,0,0.0852564506345
East Hartford,Trolley,Trolley,Trolley,Both,,,,,0,0,10,8,10,10,5,5,0.0443346740147
Main St,Trolley,Trolley,Trolley,Both,,,,,5,5,5,5,10,10,10,10,0.0415962228516
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,0.268778864598
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,2.71927546097
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,2.85211699864
Burnside,Trolley,Trolley,Trolley,Bus,,,,,30,30,30,15,0,0,15,30,2.22764496395
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,0.65832727132
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,0.645856603116
New Park Ave,Trolley,Trolley,Trolley,NA,,,,,30,30,30,30,0,0,20,20,0.15089309882
Main St West Hartford,NA,Bus,Bus,Bus,,,,,0,0,0,0,0,0,0,0,0.734210161254
,Trolley,Trolley,Bus,Bus,,,,,0,0,30,60,0,0,0,0,1.83233780805
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,1.0280773824
,NA,NA,NA,Bus,,,,,0,0,0,0,0,0,0,0,0.607120184706
